Data,"Installazioni attive (Tutti i dispositivi, Dispositivi unici, Per intervallo, giornaliero): Tutti i paesi/Tutte le regioni","Installazioni attive (Tutti i dispositivi, Dispositivi unici, Per intervallo, giornaliero): Italia","Installazioni attive (Tutti i dispositivi, Dispositivi unici, Per intervallo, giornaliero): Vietnam",Note
26 ago 2026,86,86,0,
27 ago 2026,94,94,0,Implementazione della release: Inizio dell'implementazione della versione Release 44 (100%). Implementazione della release: Inizio dell'implementazione della versione Release 45 (100%).
28 ago 2026,98,98,0,
29 ago 2026,93,93,0,Implementazione della release: Inizio dell'implementazione della versione Release 46 (100%).
30 ago 2026,93,93,0,
31 ago 2026,91,90,1,
1 set 2026,92,91,1,Implementazione della release: Inizio dell'implementazione della versione Release47 (100%).
2 set 2026,97,96,1,
3 set 2026,93,91,1,
4 set 2026,92,90,1,
5 set 2026,90,89,1,
6 set 2026,94,93,1,
7 set 2026,89,88,1,Implementazione della release: Inizio dell'implementazione della versione Release 48 (100%).
8 set 2026,93,91,2,
9 set 2026,96,95,1,
10 set 2026,95,94,1,Implementazione della release: Inizio dell'implementazione della versione Release 50 (100%).
11 set 2026,91,90,1,
12 set 2026,96,95,1,
13 set 2026,93,92,1,Implementazione della release: Inizio dell'implementazione della versione Release 51 (100%).
14 set 2026,93,92,1,
15 set 2026,95,94,1,Implementazione della release: Inizio dell'implementazione della versione Release 52 (100%).
16 set 2026,93,91,2,
17 set 2026,104,103,1,
18 set 2026,104,103,1,
19 set 2026,118,117,1,Implementazione della release: Inizio dell'implementazione della versione Release 53 (100%). Implementazione della release: Inizio dell'implementazione della versione Release 54 (100%).
20 set 2026,117,116,1,Implementazione della release: Inizio dell'implementazione della versione Release 55 (100%).
